CustomerID,Recency,Frequency,Monetary
110001.0,9,42,31760.0
110002.0,2,32,24143.0
110003.0,2,54,35801.0
110004.0,48,1,814.0
110005.0,1,57,38873.0
110006.0,9,35,22623.0
110007.0,3,43,29151.0
110008.0,1,70,52133.0
110009.0,1,82,54564.0
110010.0,2,47,38035.0
110011.0,24,11,7324.0
110012.0,15,19,14889.0
110013.0,4,16,12491.0
110014.0,3,53,39721.0
110015.0,1,87,64418.0
110016.0,9,85,58329.0
110017.0,1,173,127903.0
110018.0,1,185,125205.0
110019.0,1,163,116460.0
110020.0,2,13,9029.0
110021.0,2,51,35215.0
110022.0,16,26,19555.0
110023.0,3,38,26818.0
110024.0,6,72,54133.0
110025.0,2,102,80338.0
110026.0,7,29,21615.0
110027.0,1,84,67375.0
110028.0,3,13,9090.0
110029.0,1,45,26682.0
110030.0,2,93,70084.0
110031.0,1,30,21924.0
110032.0,2,99,69395.0
110033.0,2,43,28630.0
110034.0,1,134,101156.0
110035.0,2,32,27450.0
110036.0,18,11,8213.0
110037.0,8,18,16607.0
110038.0,9,3,2276.0
110039.0,2,14,7395.0
110040.0,8,7,5613.0
110041.0,2,35,30284.0
110042.0,5,20,14683.0
110043.0,3,65,52335.0
110044.0,4,49,31455.0
110045.0,2,126,92267.0
110046.0,2,37,27850.0
110047.0,3,28,19644.0
110048.0,2,63,53898.0
110049.0,2,66,48407.0
110051.0,2,66,45041.0
110052.0,2,54,38831.0
110053.0,1,64,49813.0
110054.0,7,26,19492.0
110055.0,17,23,16142.0
110056.0,35,4,1762.0
110057.0,6,31,23227.0
110058.0,1,117,79202.0
110059.0,1,294,198314.0
110060.0,2,44,30646.0
110061.0,16,7,5759.0
110062.0,3,55,37357.0
110063.0,2,94,72053.0
110064.0,4,52,37936.0
110065.0,1,51,34092.0
110066.0,12,9,5054.0
110067.0,4,41,33860.0
110068.0,3,53,40982.0
110070.0,1,152,108174.0
110071.0,1,10,7598.0
110072.0,42,3,1867.0
110073.0,23,5,3712.0
110074.0,4,75,53771.0
110075.0,1,225,170205.0
110076.0,5,52,37481.0
110077.0,1,80,58307.0
110078.0,1,106,80751.0
110080.0,18,12,9946.0
110081.0,21,19,10458.0
110082.0,3,4,3007.0
110083.0,37,4,2829.0
110084.0,5,83,57328.0
110085.0,2,282,214254.0
110086.0,3,45,31069.0
110087.0,2,62,46872.0
110088.0,2,48,32986.0
110089.0,2,55,35740.0
110090.0,57,1,357.0
110091.0,2,145,103823.0
110092.0,1,296,198226.0
110093.0,9,32,23162.0
110094.0,4,36,25575.0
110095.0,4,72,53346.0
110096.0,1,128,88194.0
121001.0,3,130,94970.0
121002.0,2,156,123078.0
121003.0,2,108,87413.0
121004.0,3,69,42673.0
121005.0,6,19,12321.0
121006.0,2,58,47691.0
121007.0,5,23,15724.0
121008.0,14,30,27510.0
121009.0,14,28,21482.0
121010.0,10,51,39280.0
121012.0,14,4,1734.0
121013.0,16,4,2557.0
121101.0,9,5,2254.0
121102.0,14,17,11198.0
121105.0,17,1,899.0
121106.0,2,8,5137.0
122001.0,1,584,438786.0
122002.0,3,231,174330.0
122003.0,1,142,104133.0
122004.0,1,140,98626.0
122005.0,17,12,10949.0
122006.0,1,55,40760.0
122007.0,3,4,2196.0
122008.0,25,3,1978.0
122009.0,4,58,39537.0
122010.0,12,5,2966.0
122011.0,1,141,103892.0
122012.0,29,4,2987.0
122015.0,16,17,12877.0
122016.0,4,27,18946.0
122017.0,2,117,82453.0
122018.0,1,230,177204.0
122022.0,4,29,18963.0
122050.0,16,6,3963.0
122051.0,8,13,10134.0
122052.0,2,8,5719.0
122101.0,2,84,58417.0
122102.0,1,35,31354.0
122103.0,4,18,13207.0
122104.0,12,3,2299.0
122105.0,58,2,1571.0
122107.0,38,2,1096.0
122413.0,13,5,4643.0
