CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score
110001.0,9,42,31760.0,3,4,4
110002.0,2,32,24143.0,4,4,4
110003.0,2,54,35801.0,4,4,4
110004.0,48,1,814.0,2,1,1
110005.0,1,57,38873.0,4,4,4
110006.0,9,35,22623.0,3,4,4
110007.0,3,43,29151.0,4,4,4
110008.0,1,70,52133.0,4,4,4
110009.0,1,82,54564.0,4,4,4
110010.0,2,47,38035.0,4,4,4
110011.0,24,11,7324.0,2,4,4
110012.0,15,19,14889.0,3,4,4
110013.0,4,16,12491.0,4,4,4
110014.0,3,53,39721.0,4,4,4
110015.0,1,87,64418.0,4,4,4
110016.0,9,85,58329.0,3,4,4
110017.0,1,173,127903.0,4,4,4
110018.0,1,185,125205.0,4,4,4
110019.0,1,163,116460.0,4,4,4
110020.0,2,13,9029.0,4,4,4
110021.0,2,51,35215.0,4,4,4
110022.0,16,26,19555.0,3,4,4
110023.0,3,38,26818.0,4,4,4
110024.0,6,72,54133.0,4,4,4
110025.0,2,102,80338.0,4,4,4
110026.0,7,29,21615.0,3,4,4
110027.0,1,84,67375.0,4,4,4
110028.0,3,13,9090.0,4,4,4
110029.0,1,45,26682.0,4,4,4
110030.0,2,93,70084.0,4,4,4
110031.0,1,30,21924.0,4,4,4
110032.0,2,99,69395.0,4,4,4
110033.0,2,43,28630.0,4,4,4
110034.0,1,134,101156.0,4,4,4
110035.0,2,32,27450.0,4,4,4
110036.0,18,11,8213.0,3,4,4
110037.0,8,18,16607.0,3,4,4
110038.0,9,3,2276.0,3,3,3
110039.0,2,14,7395.0,4,4,4
110040.0,8,7,5613.0,3,3,3
110041.0,2,35,30284.0,4,4,4
110042.0,5,20,14683.0,4,4,4
110043.0,3,65,52335.0,4,4,4
110044.0,4,49,31455.0,4,4,4
110045.0,2,126,92267.0,4,4,4
110046.0,2,37,27850.0,4,4,4
110047.0,3,28,19644.0,4,4,4
110048.0,2,63,53898.0,4,4,4
110049.0,2,66,48407.0,4,4,4
110051.0,2,66,45041.0,4,4,4
110052.0,2,54,38831.0,4,4,4
110053.0,1,64,49813.0,4,4,4
110054.0,7,26,19492.0,3,4,4
110055.0,17,23,16142.0,3,4,4
110056.0,35,4,1762.0,2,3,2
110057.0,6,31,23227.0,4,4,4
110058.0,1,117,79202.0,4,4,4
110059.0,1,294,198314.0,4,4,4
110060.0,2,44,30646.0,4,4,4
110061.0,16,7,5759.0,3,3,3
110062.0,3,55,37357.0,4,4,4
110063.0,2,94,72053.0,4,4,4
110064.0,4,52,37936.0,4,4,4
110065.0,1,51,34092.0,4,4,4
110066.0,12,9,5054.0,3,4,3
110067.0,4,41,33860.0,4,4,4
110068.0,3,53,40982.0,4,4,4
110070.0,1,152,108174.0,4,4,4
110071.0,1,10,7598.0,4,4,4
110072.0,42,3,1867.0,2,3,2
110073.0,23,5,3712.0,2,3,3
110074.0,4,75,53771.0,4,4,4
110075.0,1,225,170205.0,4,4,4
110076.0,5,52,37481.0,4,4,4
110077.0,1,80,58307.0,4,4,4
110078.0,1,106,80751.0,4,4,4
110080.0,18,12,9946.0,3,4,4
110081.0,21,19,10458.0,2,4,4
110082.0,3,4,3007.0,4,3,3
110083.0,37,4,2829.0,2,3,3
110084.0,5,83,57328.0,4,4,4
110085.0,2,282,214254.0,4,4,4
110086.0,3,45,31069.0,4,4,4
110087.0,2,62,46872.0,4,4,4
110088.0,2,48,32986.0,4,4,4
110089.0,2,55,35740.0,4,4,4
110090.0,57,1,357.0,1,1,1
110091.0,2,145,103823.0,4,4,4
110092.0,1,296,198226.0,4,4,4
110093.0,9,32,23162.0,3,4,4
110094.0,4,36,25575.0,4,4,4
110095.0,4,72,53346.0,4,4,4
110096.0,1,128,88194.0,4,4,4
121001.0,3,130,94970.0,4,4,4
121002.0,2,156,123078.0,4,4,4
121003.0,2,108,87413.0,4,4,4
121004.0,3,69,42673.0,4,4,4
121005.0,6,19,12321.0,4,4,4
121006.0,2,58,47691.0,4,4,4
121007.0,5,23,15724.0,4,4,4
121008.0,14,30,27510.0,3,4,4
121009.0,14,28,21482.0,3,4,4
121010.0,10,51,39280.0,3,4,4
121012.0,14,4,1734.0,3,3,2
121013.0,16,4,2557.0,3,3,3
121101.0,9,5,2254.0,3,3,3
121102.0,14,17,11198.0,3,4,4
121105.0,17,1,899.0,3,1,2
121106.0,2,8,5137.0,4,3,3
122001.0,1,584,438786.0,4,4,4
122002.0,3,231,174330.0,4,4,4
122003.0,1,142,104133.0,4,4,4
122004.0,1,140,98626.0,4,4,4
122005.0,17,12,10949.0,3,4,4
122006.0,1,55,40760.0,4,4,4
122007.0,3,4,2196.0,4,3,3
122008.0,25,3,1978.0,2,3,3
122009.0,4,58,39537.0,4,4,4
122010.0,12,5,2966.0,3,3,3
122011.0,1,141,103892.0,4,4,4
122012.0,29,4,2987.0,2,3,3
122015.0,16,17,12877.0,3,4,4
122016.0,4,27,18946.0,4,4,4
122017.0,2,117,82453.0,4,4,4
122018.0,1,230,177204.0,4,4,4
122022.0,4,29,18963.0,4,4,4
122050.0,16,6,3963.0,3,3,3
122051.0,8,13,10134.0,3,4,4
122052.0,2,8,5719.0,4,3,3
122101.0,2,84,58417.0,4,4,4
122102.0,1,35,31354.0,4,4,4
122103.0,4,18,13207.0,4,4,4
122104.0,12,3,2299.0,3,3,3
122105.0,58,2,1571.0,1,2,2
122107.0,38,2,1096.0,2,2,2
122413.0,13,5,4643.0,3,3,3
122503.0,16,9,6809.0,3,4,4
122505.0,3,60,45759.0,4,4,4
122506.0,23,3,1552.0,2,3,2
123001.0,7,9,8938.0,3,4,4
123021.0,57,2,891.0,1,2,2
123023.0,33,1,1099.0,2,1,2
123027.0,56,3,2038.0,1,3,3
123028.0,31,2,1464.0,2,2,2
123029.0,20,10,13703.0,3,4,4
123106.0,41,13,10555.0,2,4,4
123302.0,18,1,663.0,3,1,1
123303.0,73,1,1099.0,1,1,2
123401.0,1,45,36247.0,4,4,4
123411.0,41,2,1445.0,2,2,2
123501.0,25,3,1799.0,2,3,2
123506.0,51,1,1152.0,2,1,2
124001.0,7,63,46673.0,3,4,4
124021.0,51,1,435.0,2,1,1
124103.0,4,11,8032.0,4,4,4
124104.0,77,1,788.0,1,1,1
124105.0,54,2,1583.0,1,2,2
124106.0,71,3,2241.0,1,3,3
124108.0,86,1,499.0,1,1,1
124112.0,15,2,1821.0,3,2,2
124146.0,22,1,635.0,2,1,1
124201.0,4,2,1465.0,4,2,2
124303.0,59,1,540.0,1,1,1
124507.0,6,38,27495.0,4,4,4
125001.0,14,38,31789.0,3,4,4
125004.0,31,1,625.0,2,1,1
125005.0,20,7,6145.0,3,3,4
125006.0,33,2,1726.0,2,2,2
125033.0,2,7,5054.0,4,3,3
125039.0,61,1,399.0,1,1,1
125047.0,78,1,517.0,1,1,1
125050.0,13,12,11473.0,3,4,4
125051.0,19,2,1128.0,3,2,2
125052.0,79,1,744.0,1,1,1
125055.0,14,15,9922.0,3,4,4
125058.0,39,1,487.0,2,1,1
125076.0,10,1,376.0,3,1,1
125102.0,9,1,595.0,3,1,1
125104.0,56,2,2638.0,1,2,3
125120.0,7,3,1730.0,3,3,2
125121.0,5,3,1759.0,4,3,2
125133.0,10,2,1511.0,3,2,2
125201.0,42,1,1684.0,2,1,2
126102.0,9,17,13113.0,3,4,4
126112.0,7,2,1585.0,3,2,2
126116.0,2,3,2197.0,4,3,3
127020.0,12,2,2065.0,3,2,3
127021.0,7,9,6660.0,3,4,4
127025.0,89,1,379.0,1,1,1
127029.0,34,1,517.0,2,1,1
127030.0,74,1,1314.0,1,1,2
127031.0,38,2,2426.0,2,2,3
127032.0,71,1,788.0,1,1,1
127306.0,8,3,1924.0,3,3,2
131001.0,4,82,58108.0,4,4,4
131021.0,29,5,3593.0,2,3,3
131023.0,21,5,4305.0,2,3,3
131027.0,4,2,949.0,4,2,2
131028.0,32,7,4348.0,2,3,3
131029.0,5,11,8554.0,4,4,4
131101.0,1,4,2543.0,4,3,3
131103.0,58,1,545.0,1,1,1
131301.0,1,5,4180.0,4,3,3
131305.0,3,2,1557.0,4,2,2
132001.0,10,52,42374.0,3,4,4
132039.0,8,2,1033.0,3,2,2
132041.0,56,2,2129.0,1,2,3
132101.0,9,2,1518.0,3,2,2
132103.0,1,65,40191.0,4,4,4
132104.0,74,1,517.0,1,1,1
132114.0,34,2,1748.0,2,2,2
132116.0,55,2,1909.0,1,2,2
132117.0,39,3,1590.0,2,3,2
132140.0,11,6,4857.0,3,3,3
133001.0,2,41,28619.0,4,4,4
133006.0,67,1,968.0,1,1,2
133103.0,61,1,824.0,1,1,2
133104.0,1,2,1207.0,4,2,2
133201.0,38,1,1349.0,2,1,2
133202.0,53,1,735.0,1,1,1
133203.0,62,2,1743.0,1,2,2
133207.0,23,2,974.0,2,2,2
133302.0,22,8,5949.0,2,3,3
134003.0,25,18,15521.0,2,4,4
134007.0,12,5,3230.0,3,3,3
134102.0,7,6,3638.0,3,3,3
134103.0,39,1,382.0,2,1,1
134107.0,2,8,6524.0,4,3,4
134109.0,2,45,40355.0,4,4,4
134112.0,8,12,11543.0,3,4,4
134113.0,4,15,12296.0,4,4,4
134114.0,6,8,8085.0,4,3,4
134116.0,4,22,15392.0,4,4,4
134117.0,1,11,7031.0,4,4,4
134118.0,4,1,859.0,4,1,2
134202.0,54,1,308.0,1,1,1
135001.0,5,22,22726.0,4,4,4
135003.0,2,12,11513.0,4,4,4
135102.0,28,2,889.0,2,2,2
135103.0,13,1,376.0,3,1,1
135133.0,3,4,3150.0,4,3,3
136021.0,25,1,491.0,2,1,1
136027.0,10,14,9419.0,3,4,4
136042.0,70,2,1411.0,1,2,2
136118.0,2,31,21620.0,4,4,4
136119.0,39,2,1017.0,2,2,2
136128.0,6,5,4254.0,4,3,3
136129.0,27,2,1447.0,2,2,2
136131.0,57,1,376.0,1,1,1
136132.0,46,2,781.0,2,2,1
136135.0,16,5,4568.0,3,3,3
140001.0,2,15,9251.0,4,4,4
140101.0,43,1,591.0,2,1,1
140103.0,48,4,2632.0,2,3,3
140112.0,86,1,349.0,1,1,1
140113.0,9,3,1477.0,3,3,2
140117.0,85,1,563.0,1,1,1
140118.0,17,7,7734.0,3,3,4
140124.0,5,3,2258.0,4,3,3
140126.0,45,3,1733.0,2,3,2
140301.0,1,103,75658.0,4,4,4
140306.0,8,5,3216.0,3,3,3
140307.0,5,18,12317.0,4,4,4
140308.0,2,21,15635.0,4,4,4
140401.0,30,10,6875.0,2,4,4
140406.0,18,3,2113.0,3,3,3
140412.0,5,2,1708.0,4,2,2
140413.0,87,2,1197.0,1,2,2
140501.0,74,2,886.0,1,2,2
140507.0,2,19,11768.0,4,4,4
140601.0,58,1,1257.0,1,1,2
140603.0,2,103,74073.0,4,4,4
140604.0,14,10,7828.0,3,4,4
140901.0,15,9,5613.0,3,4,3
141001.0,1,55,40345.0,4,4,4
141002.0,13,16,10434.0,3,4,4
141003.0,3,26,17205.0,4,4,4
141004.0,30,4,2199.0,2,3,3
141007.0,11,7,5082.0,3,3,3
141008.0,13,9,7155.0,3,4,4
141010.0,8,7,4878.0,3,3,3
141012.0,5,16,13155.0,4,4,4
141013.0,4,15,10051.0,4,4,4
141015.0,7,6,3336.0,3,3,3
141016.0,42,1,988.0,2,1,2
141104.0,86,1,1228.0,1,1,2
141105.0,48,1,517.0,2,1,1
141106.0,61,2,1158.0,1,2,2
141109.0,2,2,1652.0,4,2,2
141112.0,3,4,2551.0,4,3,3
141114.0,14,4,2921.0,3,3,3
141115.0,10,3,2043.0,3,3,3
141116.0,22,2,763.0,2,2,1
141120.0,49,1,545.0,2,1,1
141123.0,68,2,785.0,1,2,1
141124.0,2,1,377.0,4,1,1
141401.0,1,11,6662.0,4,4,4
141415.0,17,1,380.0,3,1,1
141419.0,21,1,562.0,2,1,1
141421.0,27,3,3724.0,2,3,3
142001.0,23,10,6338.0,2,4,4
142021.0,17,2,928.0,3,2,2
142022.0,5,15,10056.0,4,4,4
142026.0,5,8,3371.0,4,3,3
142027.0,11,1,693.0,3,1,1
142029.0,78,1,399.0,1,1,1
142032.0,26,1,351.0,2,1,1
142043.0,70,3,2232.0,1,3,3
142044.0,85,1,399.0,1,1,1
142047.0,35,2,727.0,2,2,1
142053.0,76,1,1335.0,1,1,2
142054.0,12,1,1442.0,3,1,2
143001.0,1,110,79136.0,4,4,4
143002.0,32,3,1390.0,2,3,2
143003.0,67,1,744.0,1,1,1
143006.0,38,2,1103.0,2,2,2
143008.0,16,2,1144.0,3,2,2
143102.0,13,4,2446.0,3,3,3
143105.0,27,6,4340.0,2,3,3
143107.0,10,1,550.0,3,1,1
143109.0,27,1,376.0,2,1,1
143112.0,13,2,1501.0,3,2,2
143115.0,75,4,2183.0,1,3,3
143116.0,21,2,1383.0,2,2,2
143201.0,80,3,2012.0,1,3,3
143202.0,24,1,517.0,2,1,1
143204.0,2,2,1688.0,4,2,2
143303.0,37,1,382.0,2,1,1
143401.0,12,4,4070.0,3,3,3
143411.0,35,1,545.0,2,1,1
143416.0,10,3,1237.0,3,3,2
143505.0,6,9,5778.0,4,4,3
143512.0,36,2,1090.0,2,2,2
143514.0,34,2,1703.0,2,2,2
143516.0,7,5,2295.0,3,3,3
143519.0,3,2,2443.0,4,2,3
143521.0,8,15,9787.0,3,4,4
143528.0,9,2,1056.0,3,2,2
143530.0,1,7,4349.0,4,3,3
143531.0,5,8,6240.0,4,3,4
143532.0,64,1,299.0,1,1,1
143533.0,67,1,744.0,1,1,1
143534.0,49,1,435.0,2,1,1
143601.0,84,1,353.0,1,1,1
143602.0,22,1,1075.0,2,1,2
143606.0,31,1,382.0,2,1,1
144001.0,6,60,41115.0,4,4,4
144002.0,30,6,3699.0,2,3,3
144003.0,9,19,13286.0,3,4,4
144004.0,26,11,7846.0,2,4,4
144005.0,13,17,13421.0,3,4,4
144006.0,72,1,1299.0,1,1,2
144007.0,8,4,2270.0,3,3,3
